DSAA31-A900JQR50-000,22990,-1.077039
DSAA31-1900K0SXN-000,35990,0.329527
DSAA31-A900JQRLA-000,18990,-1.509829
DSAA31-A900JTIUG-000,22990,-1.077039
DSAA31-A900K19GS-000,22990,-1.077039
DSAA31-1900JVJRC-000,23990,-0.968842
DSAA31-A900K23IM-000,23990,-0.968842
DSAA31-A900JQRNZ-000,30990,-0.21146
DSAA31-A900JQR5L-000,24990,-0.860644
DSAA31-1900JZ4LO-000,33990,0.113132
DSAA31-1900JZ44W-000,29990,-0.319657
DSAA31-A900K1RRX-000,25990,-0.752447
DSAA31-A900JQR53-000,21990,-1.185237
DSAA31-A900K1VYC-000,29888,-0.330694
DSAA31-1900K1BBW-000,24888,-0.871681
DSAA31-A900IFZBC-000,25888,-0.763483
DSAAOC-1900JZ40C-000,24990,-0.860644
DSAA31-A900K282V-000,32888,-0.006101
DSAA31-A900K1RRB-000,25990,-0.752447
DSAA31-A900IFZEN-000,47990,1.627896
DSAA31-A900JQRNY-000,47990,1.627896
DSAA31-A900J29WS-000,43990,1.195106
DSAA31-A900J1950-000,43990,1.195106
DSAA31-A900IDS7J-000,43990,1.195106
DSAA31-A900JTLW5-000,43990,1.195106
DSAA31-1900JZ4TK-000,47990,1.627896
DSAA31-A900IV5FM-000,42990,1.086909
DSAA31-1900JVJNR-000,43990,1.195106
DSAA31-A900JQR4K-000,40990,0.870514
DSAA31-A900IVERT-000,43990,1.195106
DSAA31-1900JZZ83-000,42990,1.086909
DSAA31-1900K0X0E-000,38888,0.643083
DSAA31-A900JVF0M-000,40990,0.870514
DSAA31-A900JVF8Y-000,40990,0.870514
DSAA31-1900JZQ5I-000,40990,0.870514
DSAA31-1900K0XYQ-000,38888,0.643083
DSAA31-A900K1WE4-000,41990,0.978711
DSAA31-A900JQRLX-000,28990,-0.427855
DSAA31-A900K23KB-000,23990,-0.968842
DSAA31-A900K283O-000,32888,-0.006101
DSAA31-A900K2SUT-000,15990,-1.834421
DSAA31-A900K38PA-000,31900,-0.113
DSAA31-A900K3C69-000,28900,-0.437593
DSAA31-A900K2SV2-000,15990,-1.834421
DSAA31-1900K0T77-000,24888,-0.871681
DSAA31-A900K1VWZ-000,29888,-0.330694
